dataset,sample_id,concentration_mg_L,concentration_label,replicate_id,class_label
standard,standard_0.1_01,0.1,0.1,1,Low
standard,standard_0.1_02,0.1,0.1,2,Low
standard,standard_0.1_03,0.1,0.1,3,Low
standard,standard_0.1_04,0.1,0.1,4,Low
standard,standard_0.1_05,0.1,0.1,5,Low
standard,standard_0.1_06,0.1,0.1,6,Low
standard,standard_0.1_07,0.1,0.1,7,Low
standard,standard_0.1_08,0.1,0.1,8,Low
standard,standard_0.1_09,0.1,0.1,9,Low
standard,standard_0.1_10,0.1,0.1,10,Low
standard,standard_0.3_01,0.3,0.3,1,Low
standard,standard_0.3_02,0.3,0.3,2,Low
standard,standard_0.3_03,0.3,0.3,3,Low
standard,standard_0.3_04,0.3,0.3,4,Low
standard,standard_0.3_05,0.3,0.3,5,Low
standard,standard_0.3_06,0.3,0.3,6,Low
standard,standard_0.3_07,0.3,0.3,7,Low
standard,standard_0.3_08,0.3,0.3,8,Low
standard,standard_0.3_09,0.3,0.3,9,Low
standard,standard_0.3_10,0.3,0.3,10,Low
standard,standard_0.5_01,0.5,0.5,1,Low
standard,standard_0.5_02,0.5,0.5,2,Low
standard,standard_0.5_03,0.5,0.5,3,Low
standard,standard_0.5_04,0.5,0.5,4,Low
standard,standard_0.5_05,0.5,0.5,5,Low
standard,standard_0.5_06,0.5,0.5,6,Low
standard,standard_0.5_07,0.5,0.5,7,Low
standard,standard_0.5_08,0.5,0.5,8,Low
standard,standard_0.5_09,0.5,0.5,9,Low
standard,standard_0.5_10,0.5,0.5,10,Low
standard,standard_0.7_01,0.7,0.7,1,Low
standard,standard_0.7_02,0.7,0.7,2,Low
standard,standard_0.7_03,0.7,0.7,3,Low
standard,standard_0.7_04,0.7,0.7,4,Low
standard,standard_0.7_05,0.7,0.7,5,Low
standard,standard_0.7_06,0.7,0.7,6,Low
standard,standard_0.7_07,0.7,0.7,7,Low
standard,standard_0.7_08,0.7,0.7,8,Low
standard,standard_0.7_09,0.7,0.7,9,Low
standard,standard_0.7_10,0.7,0.7,10,Low
standard,standard_1_01,1.0,1.0,1,Low
standard,standard_1_02,1.0,1.0,2,Low
standard,standard_1_03,1.0,1.0,3,Low
standard,standard_1_04,1.0,1.0,4,Low
standard,standard_1_05,1.0,1.0,5,Low
standard,standard_1_06,1.0,1.0,6,Low
standard,standard_1_07,1.0,1.0,7,Low
standard,standard_1_08,1.0,1.0,8,Low
standard,standard_1_09,1.0,1.0,9,Low
standard,standard_1_10,1.0,1.0,10,Low
standard,standard_3_01,3.0,3.0,1,Mid
standard,standard_3_02,3.0,3.0,2,Mid
standard,standard_3_03,3.0,3.0,3,Mid
standard,standard_3_04,3.0,3.0,4,Mid
standard,standard_3_05,3.0,3.0,5,Mid
standard,standard_3_06,3.0,3.0,6,Mid
standard,standard_3_07,3.0,3.0,7,Mid
standard,standard_3_08,3.0,3.0,8,Mid
standard,standard_3_09,3.0,3.0,9,Mid
standard,standard_3_10,3.0,3.0,10,Mid
standard,standard_5_01,5.0,5.0,1,Mid
standard,standard_5_02,5.0,5.0,2,Mid
standard,standard_5_03,5.0,5.0,3,Mid
standard,standard_5_04,5.0,5.0,4,Mid
standard,standard_5_05,5.0,5.0,5,Mid
standard,standard_5_06,5.0,5.0,6,Mid
standard,standard_5_07,5.0,5.0,7,Mid
standard,standard_5_08,5.0,5.0,8,Mid
standard,standard_5_09,5.0,5.0,9,Mid
standard,standard_5_10,5.0,5.0,10,Mid
standard,standard_7_01,7.0,7.0,1,Mid
standard,standard_7_02,7.0,7.0,2,Mid
standard,standard_7_03,7.0,7.0,3,Mid
standard,standard_7_04,7.0,7.0,4,Mid
standard,standard_7_05,7.0,7.0,5,Mid
standard,standard_7_06,7.0,7.0,6,Mid
standard,standard_7_07,7.0,7.0,7,Mid
standard,standard_7_08,7.0,7.0,8,Mid
standard,standard_7_09,7.0,7.0,9,Mid
standard,standard_7_10,7.0,7.0,10,Mid
standard,standard_10_01,10.0,10.0,1,Mid
standard,standard_10_02,10.0,10.0,2,Mid
standard,standard_10_03,10.0,10.0,3,Mid
standard,standard_10_04,10.0,10.0,4,Mid
standard,standard_10_05,10.0,10.0,5,Mid
standard,standard_10_06,10.0,10.0,6,Mid
standard,standard_10_07,10.0,10.0,7,Mid
standard,standard_10_08,10.0,10.0,8,Mid
standard,standard_10_09,10.0,10.0,9,Mid
standard,standard_10_10,10.0,10.0,10,Mid
standard,standard_25_01,25.0,25.0,1,High
standard,standard_25_02,25.0,25.0,2,High
standard,standard_25_03,25.0,25.0,3,High
standard,standard_25_04,25.0,25.0,4,High
standard,standard_25_05,25.0,25.0,5,High
standard,standard_25_06,25.0,25.0,6,High
standard,standard_25_07,25.0,25.0,7,High
standard,standard_25_08,25.0,25.0,8,High
standard,standard_25_09,25.0,25.0,9,High
standard,standard_25_10,25.0,25.0,10,High
standard,standard_50_01,50.0,50.0,1,High
standard,standard_50_02,50.0,50.0,2,High
standard,standard_50_03,50.0,50.0,3,High
standard,standard_50_04,50.0,50.0,4,High
standard,standard_50_05,50.0,50.0,5,High
standard,standard_50_06,50.0,50.0,6,High
standard,standard_50_07,50.0,50.0,7,High
standard,standard_50_08,50.0,50.0,8,High
standard,standard_50_09,50.0,50.0,9,High
standard,standard_50_10,50.0,50.0,10,High
standard,standard_75_01,75.0,75.0,1,High
standard,standard_75_02,75.0,75.0,2,High
standard,standard_75_03,75.0,75.0,3,High
standard,standard_75_04,75.0,75.0,4,High
standard,standard_75_05,75.0,75.0,5,High
standard,standard_75_06,75.0,75.0,6,High
standard,standard_75_07,75.0,75.0,7,High
standard,standard_75_08,75.0,75.0,8,High
standard,standard_75_09,75.0,75.0,9,High
standard,standard_75_10,75.0,75.0,10,High
standard,standard_100_01,100.0,100.0,1,High
standard,standard_100_02,100.0,100.0,2,High
standard,standard_100_03,100.0,100.0,3,High
standard,standard_100_04,100.0,100.0,4,High
standard,standard_100_05,100.0,100.0,5,High
standard,standard_100_06,100.0,100.0,6,High
standard,standard_100_07,100.0,100.0,7,High
standard,standard_100_08,100.0,100.0,8,High
standard,standard_100_09,100.0,100.0,9,High
standard,standard_100_10,100.0,100.0,10,High
